ID_Ra,Name,Category,Total kg CO2-eq/kg,Agriculture,iLUC,Food processing,Packaging,Transport,Retail,Energy (KJ/100 g),Fat (g/100 g),Carbohydrate (g/100 g),Protein (g/100 g),ID_food,ID_pack,ID_retail,
Ra00253,"Pizza with broccoli, frozen, ready meals",Bread/bakery products,2.35,0.77,-0.11,1.35,0.21,0.11,0.02,816,6.7,23.6,8.7,Fa0099,Pa038,Ma0334,
Ra00254,"Pizza with tuna, frozen, ready meals",Bread/bakery products,2.29,0.59,-0.14,1.51,0.21,0.09,0.02,855,5.7,25.9,11,Fa0098,Pa038,Ma0334,
Ra00255,"Pork, minced and bound with flour and egg, boiled, frozen, ready meals",Meat/poultry,2.24,1.36,0.04,0.08,0.64,0.09,0.02,908,15.5,3.9,15.8,Fa0234,Pa070,Ma0334,
Ra00256,"Potato, raw",Vegetables,0.41,0.26,0.02,0.00,0.06,0.06,0.01,326,0.3,17.9,2,Cm132,Pa040,Ma0332,
Ra00257,"Carrot, raw",Vegetables,0.27,0.15,0.02,0.00,0.06,0.04,0.01,152,0.4,6.2,0.7,Cm023,Pa040,Ma0332,
Ra00258,"Radish, raw",Vegetables,0.45,0.25,0.03,0.00,0.14,0.03,0.01,48,0.1,1.3,0.8,Cm173,Pa059,Ma0332,
Ra00259,"Beet, red, raw",Vegetables,0.33,0.19,0.02,0.00,0.06,0.06,0.01,220,0.3,9.9,1.7,Cm157,Pa040,Ma0332,
Ra00260,"Celeriac, celery root, raw",Vegetables,0.38,0.25,0.03,0.00,0.06,0.03,0.01,143,0.3,2,1.8,Cm173,Pa040,Ma0332,
Ra00261,"Ginger root, raw",Vegetables,1.27,0.73,0.05,0.00,0.14,0.35,0.01,352,0.8,16.7,1.8,Cm069,Pa059,Ma0332,
Ra00262,"Fennel, root, raw",Vegetables,0.15,0.00,0.01,0.00,0.14,0.00,0.01,95,0.2,2.9,1.4,Cm003,Pa059,Ma0332,
Ra00263,"Turnip, raw",Vegetables,0.27,0.15,0.02,0.00,0.06,0.04,0.01,110,0.1,3.8,0.6,Cm023,Pa040,Ma0332,
Ra00264,"Onions, chopped, frozen",Fruit/vegetable products,0.38,0.19,0.03,0.02,0.06,0.06,0.02,117,0.1,5,0.8,Fa0111,Pa040,Ma0334,
Ra00265,"Carrot, frozen",Fruit/vegetable products,0.38,0.18,0.02,0.02,0.06,0.07,0.02,124,0.2,4.7,1.1,Fa0112,Pa040,Ma0334,
Ra00266,"Onion, raw",Vegetables,0.27,0.15,0.02,0.00,0.06,0.03,0.01,183,0.1,5.4,1.2,Cm115,Pa040,Ma0332,
Ra00267,"Onions, spring, raw",Vegetables,0.81,0.56,0.04,0.00,0.06,0.14,0.01,139,0.2,4.7,1.8,Cm115,Pa040,Ma0332,
Ra00268,"Cassava, raw",Vegetables,0.70,0.38,0.04,0.00,0.06,0.21,0.01,659,0.3,36.3,1.4,Cm026,Pa040,Ma0332,
Ra00269,"Parsley root, raw",Vegetables,0.95,0.61,0.06,0.00,0.06,0.21,0.01,232,0.6,8,2.3,Cm143,Pa040,Ma0332,
Ra00270,"Cheese, semihard, Feta, 40 % fidm",Milk/eggs/substitute products,1.60,2.67,-1.33,-0.35,0.35,0.26,0.00,1059,19.2,0.5,19,Fa0083,Pa034,Ma0333,
Ra00271,"Cheese, Danish Blue, 50 % fidm.",Milk/eggs/substitute products,5.41,4.46,-2.34,2.52,0.35,0.42,0.00,1450,29.5,0,20.1,Fa0085,Pa034,Ma0333,
Ra00272,"Lamb, leg, unspecified , raw",Meat/poultry,36.43,36.94,4.22,-5.34,0.14,0.48,0.00,749,12,0,17.9,Fa0054,Pa059,Ma0333,
Ra00273,"Lamb, meat, average values, raw",Meat/poultry,36.43,36.94,4.22,-5.34,0.14,0.48,0.00,1365,30.5,0,13.9,Fa0054,Pa059,Ma0333,
Ra00274,"Crayfish, raw",Seafood,2.54,1.12,0.20,0.52,0.26,0.44,0.00,287,0.5,1.2,14.6,Fa0400,Pa066,Ma0333,
Ra00275,"Shrimps, boiled, shell removed",Seafood,8.40,3.39,0.66,3.87,0.26,0.23,0.00,291,0.8,0,15.3,Fa0406,Pa061,Ma0333,
Ra00276,"Lobster, raw",Seafood,2.54,1.12,0.20,0.52,0.26,0.44,0.00,393,1.3,0.8,19.6,Fa0401,Pa066,Ma0333,
Ra00277,"Crab, boiled",Seafood,4.42,0.49,0.19,3.17,0.08,0.49,0.00,541,5.2,0.5,20.1,Fa0402,Pa062,Ma0333,
Ra00278,"Prawn, giant tiger, aquaculture, boiled, frozen",Seafood,10.04,3.89,0.61,5.25,0.08,0.19,0.02,263,0.3,0,14.8,Fa0405,Pa062,Ma0334,
Ra00279,"Shrimp, boiled, in brine",Seafood,8.40,3.39,0.66,3.87,0.26,0.23,0.00,303,0.9,0.4,15.5,Fa0407,Pa061,Ma0333,
Ra00280,"Pop corn, oil and salt added, traditional",Prepared/preserved foods,1.53,0.62,0.02,0.56,0.26,0.07,0.01,1960,20.2,57.9,9.6,Fa0174,Pa066,Ma0332,
Ra00281,"Peanuts, oilroasted and salted",Fruit/vegetable products,3.47,1.91,0.22,0.72,0.26,0.35,0.01,2614,53.3,8.1,28.4,Fa0175,Pa066,Ma0332,
